Channel,RMS,Sigma,Mean,Rate,PED_Mean,PED_Sigma,P1,P0,P1_err,P0_err,Time,Gain,Gain_err,Rate_err
0,36.56768135626344,20.148583223462737,131.70570196843988,415.105,70.8,2.3,132.1,-8.8,2.7,2.5,1866.666901525,3.297960918264567,0.13616744738767883,0.8317702006363696
1,62.47841512787616,24.418204674515128,126.69504037603953,115.78,74.0,2.2,142.2,-14.5,4.6,3.9,1262.68491655,2.953368511605113,0.19632456880614782,0.4392797134704341
2,54.29186654253633,16.407241705566033,121.8014938886374,137.465,68.8,2.0,125.7,1.8,2.8,2.3,725.8047982,2.545818112999075,0.12771153195329818,0.47865262282090687
3,55.70327134374365,18.67068247182786,134.46850144434333,175.65333333333334,73.5,2.2,130.8,-1.2,2.5,2.3,631.8608699499999,2.9705897096876592,0.12376203415481853,0.5410689009318088
4,51.80536396042024,12.46612907396083,114.2159868466393,695.4133333333333,72.5,2.3,123.9,1.6,2.1,2.3,626.8324259,2.0236070846771232,0.12099235986918647,1.0765789437947513
5,30.030375760881082,13.25816399480728,116.42527664300162,678.4383333333334,65.0,2.1,126.0,3.9,2.9,2.0,635.2209864749999,2.3574045953869853,0.11308372406275116,1.0633581501806226
6,61.23653513073171,21.554291593598844,135.44272585399688,102.19,70.9,2.0,126.9,-2.1,3.4,2.8,643.5926753749999,3.2822461512015786,0.1636712540252793,0.41269439863737756
7,70.90199228556197,14.742740012586344,113.59768938286048,119.435,69.8,2.0,129.0,-4.9,2.4,3.0,1034.51089405,2.359384175526186,0.15187968827874251,0.4461595379831449
8,44.624379122878594,16.87731581932594,123.02744453877672,185.56333333333333,69.3,2.2,137.5,-3.4,2.1,1.4,646.950911175,2.5967020244898507,0.07505356064639476,0.5561224885061044
9,62.25223134944405,20.104197332425628,126.33116275963401,105.24,68.3,2.0,130.6,-3.5,3.1,2.6,628.496904125,2.944638340334706,0.1428173239462771,0.4188078318274385
10,51.12001789623872,17.217735537221326,126.02778127227744,164.675,70.6,2.4,126.5,-3.3,1.3,1.4,623.46729825,2.901570220962324,0.0754212737849719,0.5238877106149116
11,61.749900570840126,22.73063468363976,133.69473684210527,122.66833333333334,70.7,2.2,122.8,-0.1,1.8,1.4,613.399859225,3.211254928853078,0.08561280968876851,0.4521584039053374
12,45.17959458447155,18.987631785167547,126.19559066427288,238.205,69.5,2.1,130.2,-5.0,2.2,1.4,625.1410923,2.9615778928702423,0.08385884842745163,0.6300859729698268
13,63.20435438059862,24.555468743927747,130.31199290925207,103.48166666666667,69.5,2.1,126.0,-1.8,1.9,1.2,631.85378695,3.1057536165303605,0.076057387791728,0.41529440695059266
14,41.30135430194818,16.193749146746686,124.46072020452472,264.7366666666667,72.4,2.0,134.5,-9.8,4.0,3.3,630.1848787499999,2.874568782738137,0.17558599903946354,0.6642497856813939
15,33.43563599216946,20.860029536118187,138.42554519564624,866.7716666666666,72.2,2.1,132.2,-4.6,3.3,3.0,1046.263593375,3.34840890675332,0.16463860793677576,1.201923227350418
16,58.686919570359905,15.747255396562371,129.3344562078922,137.57333333333332,71.4,2.2,121.2,12.9,6.3,7.6,912.0400123,2.322321380357477,0.41010352059098554,0.478841193809481
17,56.12969441862869,17.421663900496963,136.05991831543935,142.86,73.1,2.0,122.7,0.4,4.1,5.1,633.541716175,3.1866299060431618,0.2807886836023264,0.48795491595023405
18,35.875879679470685,12.745051939203478,125.27104661492085,464.41333333333336,74.2,2.0,123.2,2.1,1.9,2.0,613.412445775,2.484326634279669,0.1084678392463566,0.8797853273510658
19,43.443764891254666,15.8045540525894,130.56811248982171,280.72833333333335,72.6,2.0,125.8,0.8,0.9,0.9,625.149286675,2.8402281642399507,0.049189009742194645,0.6840179497319903
20,49.53534749899169,19.701574313984526,139.6523523093448,161.775,74.1,2.1,127.4,-1.8,2.9,2.3,611.72268635,3.3041774092104,0.13567537111709854,0.5192542729723079
21,52.04426026163014,17.689427122797866,139.22619531355818,153.995,80.8,2.2,128.6,-7.3,2.1,2.3,628.50477665,3.1943135358455566,0.12341785111569274,0.5066145806560776
22,62.74457782853754,19.164268460334206,140.34980460903546,97.39166666666667,73.0,2.0,116.1,7.5,4.5,4.1,646.9328101,3.2218887063434254,0.25366671390610096,0.40288887356744474
23,57.95897521376886,18.221452503973918,132.3648939027666,206.35166666666666,67.1,2.0,120.6,5.5,5.6,4.0,979.150784525,3.097268548028949,0.2523305333631807,0.586446454882664
24,39.19120134362081,16.192728554269245,132.01393349284135,265.98,75.5,1.9,124.3,3.8,2.8,3.6,618.442521375,2.6505396969449593,0.19062831346454565,0.6658077800686922
25,34.18584222242854,15.937121845715822,133.09138011917014,482.12,68.1,2.0,128.5,1.4,1.5,2.1,618.442442025,3.0929659591036063,0.1083526933405546,0.8964002082403446
26,57.30507440130869,12.633467467932233,120.22079596412556,123.85333333333334,76.6,2.1,123.9,-2.2,2.2,2.2,623.4644236,2.311379941693178,0.118368834636525,0.4543371239753826
27,33.71030430589667,17.350578048421237,137.75339670667876,496.2416666666667,74.6,2.2,132.0,-3.8,6.0,5.1,623.478375025,3.1701418895207745,0.28121143139838484,0.9094335844053948
28,42.7884809237231,17.106474304109753,141.90731689914736,287.885,78.2,2.1,127.8,0.5,3.5,4.2,618.441316125,3.0911246527360796,0.222178813520167,0.6926819857144643
29,53.76930361884903,18.378747981474607,138.03728031244452,137.48166666666665,70.7,2.2,129.4,-1.3,2.5,1.8,621.8026630749999,3.3151700305469722,0.1080742170724987,0.47868163857736507
30,67.33521629630063,18.832822385044448,139.94692331409945,81.35166666666667,75.4,2.1,128.4,-1.2,1.5,1.1,640.237333325,3.200298058513407,0.06557125387071423,0.3682201937850654
31,75.43812679753057,15.124712310694362,126.86698138901498,194.855,68.8,2.2,123.0,3.8,7.0,6.5,990.8911936,2.757468566514989,0.3656840771335924,0.5698757174448946
32,44.50275737258609,18.538672788062108,128.8436481593241,226.43666666666667,62.3,3.0,122.8,-1.7,1.7,1.5,1039.545914825,3.4733127116919835,0.09029688406319648,0.6143243804737399
33,32.23143722866744,14.909108067078128,119.26118709551211,413.7783333333333,62.0,2.7,113.9,7.0,2.9,3.8,625.155498925,2.757966807260322,0.22003484119016584,0.8304399770938027
34,31.588049865611158,13.951577177255553,119.79034230599508,534.46,63.8,2.6,119.4,1.0,6.8,10.4,626.8332388,2.8784726918967274,0.5685387906730539,0.943804358257932
35,36.52408458016885,16.91533830172815,122.83930237098419,312.49333333333334,60.8,2.3,121.1,1.1,3.9,3.7,621.801189175,3.145091988593321,0.21617616263402026,0.7216801384423865
36,40.12164420941074,15.865255241921632,123.10091825509082,302.54333333333335,68.6,3.0,120.8,-1.8,2.7,4.1,615.0779885499999,2.912920025615212,0.22191078103138565,0.7100978023405571
37,36.14283318093721,14.866801329700753,120.27075143605174,432.83666666666664,65.7,2.5,117.3,2.4,2.3,4.1,633.543280425,2.779771495953311,0.22516463470983805,0.849349424232715
38,31.1060016597634,14.421986554473673,122.45034530957624,448.525,66.8,2.5,124.0,-2.9,3.3,5.0,631.857661675,2.951126275684286,0.2639778174816985,0.8646049194092448
39,44.24823927462804,16.78271174985278,129.29062253542625,267.8983333333333,71.0,2.3,119.2,1.4,1.8,2.1,1078.1333721,2.982939520523608,0.11900707818933016,0.6682044763560194
40,48.82983300683119,17.020958516573966,123.63019852981046,442.3233333333333,61.7,2.4,117.3,4.3,1.2,1.5,658.70977235,3.070662752014624,0.08591130168844656,0.85860675256811
41,55.26946287059929,18.919706895718747,127.89836201957414,439.9583333333333,63.9,2.6,120.7,-0.6,1.8,1.4,628.5101452,3.344985605818876,0.08804004168382984,0.8563082907977061
