Channel,RMS,Sigma
0,7.461313380782518,3.7759970748244154
1,2.801181887265887,2.801181887265887
2,4.769233538011246,4.769233538011246
3,2.793987970547242,2.793987970547242
4,2.666182301069274,2.666182301069274
5,2.3304269853200643,2.3304269853200643
6,3.2682787342493715,3.2682787342493715
7,3.523356788687671,3.523356788687671
8,2.284436287214962,2.284436287214962
9,2.3586549247793207,2.3586549247793207
10,3.252684179625687,3.252684179625687
11,3.5465600038216505,3.5465600038216505
12,2.2771575280486975,2.2771575280486975
13,2.3607115311665714,2.3607115311665714
14,2.2304251261667294,2.2304251261667294
15,2.3228954890986393,2.3228954890986393
16,5.773516638980748,5.773516638980748
17,3.1250574842533667,3.1250574842533667
18,2.749168279188733,2.749168279188733
19,2.827506885633508,2.827506885633508
20,2.8400120294396674,2.8400120294396674
21,2.7695041125105244,2.7695041125105244
22,3.408609132165107,3.408609132165107
23,2.945083819242774,2.945083819242774
24,3.352492608679322,3.352492608679322
25,2.752831394323506,2.752831394323506
26,2.8831667935737997,2.8831667935737997
27,2.8673514211252242,2.8673514211252242
28,2.825828086411502,2.825828086411502
29,3.100253881442612,3.100253881442612
30,3.1715512925075013,3.1715512925075013
31,3.704832543910975,3.704832543910975
32,3.951120220105332,3.951120220105332
33,3.246698545349266,3.246698545349266
34,2.8791453062809076,2.8791453062809076
35,3.6712881674500575,3.6712881674500575
36,2.812411003307042,2.812411003307042
37,2.9187803403529884,2.9187803403529884
38,3.162841080063212,3.162841080063212
39,3.1389625952142355,3.1389625952142355
40,3.4543666847934413,3.4543666847934413
41,2.957184171524206,2.957184171524206
42,2.803026115876499,2.803026115876499
43,3.195043289575049,3.195043289575049
44,2.842796162646307,2.842796162646307
45,3.2394554380488803,3.2394554380488803
46,3.062886851918402,3.062886851918402
47,2.9009492415002067,2.9009492415002067
48,3.6186419640566414,3.6186419640566414
49,3.7152055507534696,3.7152055507534696
50,4.50020185673428,4.50020185673428
51,4.532808135286354,4.532808135286354
52,2.9985853012483217,2.9985853012483217
53,4.739796694082638,4.739796694082638
54,2.979796769008403,2.979796769008403
55,3.455863097947713,3.455863097947713
56,3.1239235100580975,3.1239235100580975
57,3.0423609485988488,3.0423609485988488
58,5.320066345858086,5.320066345858086
59,3.104259339327836,3.104259339327836
60,3.107172745422335,3.107172745422335
61,3.127412640759612,3.127412640759612
62,5.415805411490679,5.415805411490679
63,3.359144927490415,3.359144927490415
64,2.5152898524336127,2.5152898524336127
65,2.1910147954104673,2.1910147954104673
66,2.3831533055744925,2.3831533055744925
67,2.2061124380149146,2.2061124380149146
68,2.220189450608394,2.220189450608394
69,2.205927353398348,2.205927353398348
70,2.234740491312803,2.234740491312803
71,2.8724984635745767,2.8724984635745767
72,2.186787454219031,2.186787454219031
73,3.0050350552637872,3.0050350552637872
74,3.56741107937068,3.56741107937068
75,2.20723778881055,2.20723778881055
76,2.262999348841693,2.262999348841693
77,3.2364623978590408,3.2364623978590408
78,2.2065550222580796,2.2065550222580796
79,2.674972993197804,2.674972993197804
80,4.4716445301020515,4.4716445301020515
81,2.628187413727658,2.628187413727658
82,3.4494924937777407,3.4494924937777407
83,3.0304625312856786,3.0304625312856786
84,2.4543584737746738,2.4543584737746738
85,2.234052618232177,2.234052618232177
86,2.4698408036261195,2.4698408036261195
87,2.873621306111007,2.873621306111007
88,2.2362213574081986,2.2362213574081986
89,3.170364280588743,3.170364280588743
90,3.68814721645942,3.68814721645942
91,2.173277955082715,2.173277955082715
92,4.089770065267725,4.089770065267725
93,2.6523322190045113,2.6523322190045113
94,2.4459461558419076,2.4459461558419076
95,2.4501098528014746,2.4501098528014746
96,2.2264326148984033,2.2264326148984033
97,2.741127023655142,2.741127023655142
98,4.138628323150349,4.138628323150349
99,2.9521714852901044,2.9521714852901044
100,2.660824068242273,2.660824068242273
101,3.076095018425767,3.076095018425767
102,2.484887768160523,2.484887768160523
103,2.2718651351644774,2.2718651351644774
104,2.7548611141370407,2.7548611141370407
105,3.430332091199808,3.430332091199808
106,3.4022466383495447,3.4022466383495447
107,2.6742773339474226,2.6742773339474226
108,2.2875690466501486,2.2875690466501486
109,2.27647005485037,2.27647005485037
110,4.103215349558044,4.103215349558044
111,3.242450144789119,3.242450144789119
112,2.176525126842119,2.176525126842119
113,2.1687404487741406,2.1687404487741406
114,2.354996601571437,2.354996601571437
115,2.4710160737553277,2.4710160737553277
116,3.6847141893065682,3.6847141893065682
117,2.3604582105191847,2.3604582105191847
118,3.022948262424016,3.022948262424016
119,2.170543110353592,2.170543110353592
120,2.3540253397246294,2.3540253397246294
121,2.2568652750475713,2.2568652750475713
122,2.4927126312817256,2.4927126312817256
123,2.717563484167528,2.717563484167528
124,2.3942151063905945,2.3942151063905945
125,2.2237005824142226,2.2237005824142226
126,4.070251609333854,4.070251609333854
127,2.859521950918075,2.859521950918075
