Channel,RMS,Sigma
0,2.326437501734493,2.326437501734493
1,3.1865137576028197,3.1865137576028197
2,3.1976060273458455,3.1976060273458455
3,2.929713649286224,2.929713649286224
4,2.617734886940195,2.617734886940195
5,2.086577563210842,2.086577563210842
6,2.931752264250945,2.931752264250945
7,2.0156194711373887,2.0156194711373887
8,2.0383605072938984,2.0383605072938984
9,3.4158173908893947,3.4158173908893947
10,2.0004179453219413,2.0004179453219413
11,2.38346885361078,2.38346885361078
12,4.870097982853168,4.870097982853168
13,2.280892184205274,2.280892184205274
14,2.6231458192617363,2.6231458192617363
15,2.080266434389221,2.080266434389221
16,2.2128236802618417,2.2128236802618417
17,2.085478395914307,2.085478395914307
18,2.38757388898728,2.38757388898728
19,3.95088900021118,3.95088900021118
20,2.529526484495314,2.529526484495314
21,2.407895013804541,2.407895013804541
22,2.031447668991695,2.031447668991695
23,2.1859712989226936,2.1859712989226936
24,2.6185409308684813,2.6185409308684813
25,2.123396088609534,2.123396088609534
26,2.8495115803995326,2.8495115803995326
27,2.028047820846577,2.028047820846577
28,2.0447274017317616,2.0447274017317616
29,3.7286806392498275,3.7286806392498275
30,2.0314427166621143,2.0314427166621143
31,2.2710408085203952,2.2710408085203952
32,4.2366005699974725,4.2366005699974725
33,2.4374787121844115,2.4374787121844115
34,2.7100146910100724,2.7100146910100724
35,3.252747241225667,3.252747241225667
36,3.4732165217156408,3.4732165217156408
37,3.085031634870161,3.085031634870161
38,2.2961532856021387,2.2961532856021387
39,3.683201911741315,3.683201911741315
40,3.5221978594907672,3.5221978594907672
41,2.818042913031005,2.818042913031005
42,3.2309670758580817,3.2309670758580817
43,2.324841869847949,2.324841869847949
44,2.332119366903619,2.332119366903619
45,2.296040342764415,2.296040342764415
46,2.350073620126906,2.350073620126906
47,2.5842459840429877,2.5842459840429877
48,2.3962213251791957,2.3962213251791957
49,2.452935074236445,2.452935074236445
50,2.7624970281871164,2.7624970281871164
51,2.0567897892469995,2.0567897892469995
52,2.881166149076476,2.881166149076476
53,2.256913307059479,2.256913307059479
54,2.329794608036435,2.329794608036435
55,2.220986753126858,2.220986753126858
56,3.112943037615217,3.112943037615217
57,2.1613532524924617,2.1613532524924617
58,3.117502533479313,3.117502533479313
59,2.9384564587326323,2.9384564587326323
60,2.6172361917103237,2.6172361917103237
61,3.1459333666398406,3.1459333666398406
62,4.373514864999395,4.373514864999395
63,3.306065713484083,3.306065713484083
64,2.9690071160576808,2.9690071160576808
65,3.253047303571436,3.253047303571436
66,3.3790965882391437,3.3790965882391437
67,2.5680322668224136,2.5680322668224136
68,2.2559978812785624,2.2559978812785624
69,2.810573941762793,2.810573941762793
70,2.162423888621263,2.162423888621263
71,2.150279979206699,2.150279979206699
72,2.2570846663787676,2.2570846663787676
73,4.3606633488770985,4.3606633488770985
74,3.12465795747605,3.12465795747605
75,2.3521424596205316,2.3521424596205316
76,2.2677649067950503,2.2677649067950503
77,3.369904954496916,3.369904954496916
78,4.22334855288738,4.22334855288738
79,4.936132599230119,4.936132599230119
80,5.218866908851376,5.218866908851376
81,3.0894936537159343,3.0894936537159343
82,2.9051281644706326,2.9051281644706326
83,2.68057035958759,2.68057035958759
84,3.3126571114043464,3.3126571114043464
85,2.349077341184799,2.349077341184799
86,2.2682294714786733,2.2682294714786733
87,2.5327778334361204,2.5327778334361204
88,2.207452232541981,2.207452232541981
89,2.4310963140234194,2.4310963140234194
90,2.3484890492966275,2.3484890492966275
91,3.1995674668638583,3.1995674668638583
92,3.188626917132738,3.188626917132738
93,2.295918886579998,2.295918886579998
94,2.473653238518512,2.473653238518512
95,4.864878576405675,4.864878576405675
96,4.423419846334803,4.423419846334803
97,2.237010985667949,2.237010985667949
98,2.4002020643712654,2.4002020643712654
99,2.8769190264738906,2.8769190264738906
100,2.5645969388275205,2.5645969388275205
101,2.6654987247360546,2.6654987247360546
102,3.291802640469415,3.291802640469415
103,2.5252168566170874,2.5252168566170874
104,3.438013244520796,3.438013244520796
105,3.138001458400302,3.138001458400302
106,2.477411340682549,2.477411340682549
107,2.2562165244064336,2.2562165244064336
108,2.6222193049152613,2.6222193049152613
109,3.143466576967381,3.143466576967381
110,2.076130506868953,2.076130506868953
111,4.0526575657503905,4.0526575657503905
112,4.156054027284463,4.156054027284463
113,3.1903055115290075,3.1903055115290075
114,3.22480469009332,3.22480469009332
115,3.8194773472566528,3.8194773472566528
116,2.6308268734109443,2.6308268734109443
117,2.95252106045163,2.95252106045163
118,2.635238159076702,2.635238159076702
119,2.607057429958616,2.607057429958616
120,2.8521862694738154,2.8521862694738154
121,3.559406111050639,3.559406111050639
122,2.9920291944901583,2.9920291944901583
123,3.8876390793376028,3.8876390793376028
124,2.715317929188297,2.715317929188297
125,4.133854353824223,4.133854353824223
126,2.648596260462364,2.648596260462364
127,3.6176832423566494,3.6176832423566494
