Channel,RMS,Sigma
0,7.030770729600686,2.6490074465814115
1,2.741239310854492,2.741239310854492
2,3.1940342836242195,3.1940342836242195
3,3.076221924388187,3.076221924388187
4,3.7065125405648023,3.7065125405648023
5,3.287718559620559,3.287718559620559
6,2.6226217960842773,2.6226217960842773
7,3.9097905319120403,3.9097905319120403
8,3.0074769346070567,3.0074769346070567
9,2.564311143270286,2.564311143270286
10,2.7213498982783597,2.7213498982783597
11,2.885735190966332,2.885735190966332
12,2.5812301125845263,2.5812301125845263
13,2.420210081733908,2.420210081733908
14,2.9883014282499705,2.9883014282499705
15,2.567489105218396,2.567489105218396
16,3.7931236240621686,3.7931236240621686
17,13.238062160033675,13.136542165964785
18,8.831924738440488,8.831924738440488
19,3.2019396559690656,3.2019396559690656
20,14.285959812033358,14.167788990267486
21,8.882098979001805,8.882098979001805
22,8.942215507639807,8.942215507639807
23,12.169115544786564,12.169115544786564
24,7.604515414447097,7.604515414447097
25,4.015589140588302,4.015589140588302
26,9.177997134640181,9.177997134640181
27,9.191969130228422,9.191969130228422
28,11.384821744956897,11.384821744956897
29,11.844575428309813,11.844575428309813
30,7.4658890982277875,7.4658890982277875
31,6.375904423440567,6.375904423440567
32,3.297113242337383,3.297113242337383
33,3.589192677695551,3.589192677695551
34,2.8864938527234107,2.8864938527234107
35,4.73073988437343,4.73073988437343
36,3.57863323207814,3.57863323207814
37,4.817828125922482,4.817828125922482
38,2.7217159598165925,2.7217159598165925
39,2.9886588283415674,2.9886588283415674
40,5.891839602934318,5.891839602934318
41,3.4114959163211545,3.4114959163211545
42,4.7037370186473035,4.7037370186473035
43,4.465368570921729,4.465368570921729
44,4.080748994529257,4.080748994529257
45,2.935684190723088,2.935684190723088
46,2.8048576868520576,2.8048576868520576
47,5.705497065599931,5.705497065599931
48,5.848157569230798,5.848157569230798
49,3.223432212407065,3.223432212407065
50,3.86782254935775,3.86782254935775
51,5.566243635153712,5.566243635153712
52,2.97165802555892,2.97165802555892
53,3.3762162690484843,3.3762162690484843
54,3.3723095178575297,3.3723095178575297
55,3.398535738625465,3.398535738625465
56,3.2880458069789973,3.2880458069789973
57,3.371858632536349,3.371858632536349
58,4.048251083052843,4.048251083052843
59,3.4406142298114606,3.4406142298114606
60,4.05152253478247,4.05152253478247
61,4.957390687595906,4.957390687595906
62,3.1414381787856667,3.1414381787856667
63,3.983236410871372,3.983236410871372
64,2.731046996071162,2.731046996071162
65,2.8972550420811887,2.8972550420811887
66,2.9907907432099345,2.9907907432099345
67,3.549282719048169,3.549282719048169
68,2.4060724071487827,2.4060724071487827
69,3.5692635106964175,3.5692635106964175
70,2.5057109569520137,2.5057109569520137
71,2.9737968586423444,2.9737968586423444
72,2.602548618726792,2.602548618726792
73,3.092233162934907,3.092233162934907
74,3.1010095552911685,3.1010095552911685
75,2.452346788462067,2.452346788462067
76,2.88041332576107,2.88041332576107
77,2.525376969417046,2.525376969417046
78,2.59608634453854,2.59608634453854
79,2.796033461721721,2.796033461721721
80,4.449443702560725,4.449443702560725
81,3.4790687365336743,3.4790687365336743
82,3.8369717048426906,3.8369717048426906
83,3.7438953525143512,3.7438953525143512
84,3.029910422178026,3.029910422178026
85,4.701596429693412,4.701596429693412
86,3.818252882966959,3.818252882966959
87,3.0820580651792846,3.0820580651792846
88,3.119509003120461,3.119509003120461
89,3.34675441635429,3.34675441635429
90,3.126972554515799,3.126972554515799
91,2.7462958678639344,2.7462958678639344
92,3.0305927122961216,3.0305927122961216
93,3.3542399644492757,3.3542399644492757
94,4.404337609896059,4.404337609896059
95,3.3129051280106725,3.3129051280106725
96,2.6038274165163506,2.6038274165163506
97,3.4110429454543945,3.4110429454543945
98,4.04188460147851,4.04188460147851
99,4.98857450777241,4.98857450777241
100,5.5259137155720435,5.5259137155720435
101,6.463503638853946,6.463503638853946
102,2.9251522049789282,2.9251522049789282
103,5.966428706244626,5.966428706244626
104,4.588469450380785,4.588469450380785
105,3.7470960565020976,3.7470960565020976
106,3.2843977330106533,3.2843977330106533
107,6.844286548332044,6.844286548332044
108,4.052080804284142,4.052080804284142
109,3.242899355009422,3.242899355009422
110,5.6953547865677665,5.6953547865677665
111,4.180646283561574,4.180646283561574
112,3.411810560641897,3.411810560641897
113,2.303334817476269,2.303334817476269
114,3.164767107788879,3.164767107788879
115,2.8080949932651844,2.8080949932651844
116,2.4776394672210964,2.4776394672210964
117,4.780795919481239,4.780795919481239
118,3.851144960600052,3.851144960600052
119,2.797738989152453,2.797738989152453
120,2.9052034096832773,2.9052034096832773
121,2.751790536031703,2.751790536031703
122,2.279915731805659,2.279915731805659
123,2.349540045187015,2.349540045187015
124,2.5559764225635067,2.5559764225635067
125,2.3625324998951163,2.3625324998951163
126,3.594850175221168,3.594850175221168
127,3.6550331541512397,3.6550331541512397
