GCUId	Chn	Mean_Ping_HG	Mean_Pong_HG	RMS_Ping_HG	RMS_Pong_HG	Mean_Ping_LG	Mean_Pong_LG	RMS_Ping_LG	RMS_Pong_LG	Length	x	y	z
8100	0	78.0176	77.7716	2.25114	2.23652	0	0	0	0	0	0	0	0
8100	1	79.4762	87.4158	2.31824	2.34889	0	0	0	0	0	0	0	0
8100	2	78.6443	74.1832	2.28241	2.31561	0	0	0	0	0	0	0	0
8100	3	75.4998	76.4024	2.31876	2.32296	0	0	0	0	0	0	0	0
8100	4	75.2079	82.6314	2.35072	2.25374	0	0	0	0	0	0	0	0
8100	5	76.8296	74.4101	2.367	2.36746	0	0	0	0	0	0	0	0
8100	6	72.5371	75.1806	2.33475	2.33551	0	0	0	0	0	0	0	0
8100	7	80.3727	73.8232	2.31839	2.3281	0	0	0	0	0	0	0	0
8100	8	82.8702	78.6629	2.33637	2.3667	0	0	0	0	0	0	0	0
8100	9	75.619	81.3649	2.60742	2.50721	0	0	0	0	0	0	0	0
8100	10	78.0098	74.3874	2.34549	2.36269	0	0	0	0	0	0	0	0
8100	11	71.4596	76.8752	2.30014	2.27396	0	0	0	0	0	0	0	0
8100	12	80.2745	73.6278	2.30742	2.35209	0	0	0	0	0	0	0	0
8100	13	77.3393	76.2296	2.3278	2.32838	0	0	0	0	0	0	0	0
8100	14	85.0347	80.6544	2.34176	2.37956	0	0	0	0	0	0	0	0
8100	15	75.9826	74.7809	2.2973	2.30074	0	0	0	0	0	0	0	0
8100	16	78.3995	75.4835	2.92527	2.90121	0	0	0	0	0	0	0	0
8100	17	72.5802	73.4549	2.90946	2.8876	0	0	0	0	0	0	0	0
8100	18	75.7012	75.5666	2.98611	2.96224	0	0	0	0	0	0	0	0
8100	19	78.3595	67.6151	2.93798	2.92897	0	0	0	0	0	0	0	0
8100	20	81.2578	77.6184	3.00912	3.00348	0	0	0	0	0	0	0	0
8100	21	74.9736	67.291	3.09562	3.09221	0	0	0	0	0	0	0	0
8100	22	75.2821	71.4976	3.07443	3.07474	0	0	0	0	0	0	0	0
8100	23	63.5147	62.1856	2.98834	2.97877	0	0	0	0	0	0	0	0
8100	24	69.9837	72.4413	2.83331	2.85935	0	0	0	0	0	0	0	0
8100	25	70.2796	72.067	2.87443	2.88993	0	0	0	0	0	0	0	0
8100	26	65.6592	73.4205	2.82822	2.8184	0	0	0	0	0	0	0	0
8100	27	71.7535	72.2012	3.08401	3.09881	0	0	0	0	0	0	0	0
8100	28	71.3636	76.2631	2.93673	2.96314	0	0	0	0	0	0	0	0
8100	29	64.559	69.8013	2.97456	2.98333	0	0	0	0	0	0	0	0
8100	30	78.5723	70.9959	2.8315	2.82023	0	0	0	0	0	0	0	0
8100	31	63.0834	64.1222	2.91316	2.93915	0	0	0	0	0	0	0	0
8100	32	84.5825	89.5191	2.9976	3.02724	0	0	0	0	0	0	0	0
8100	33	95.9101	92.0296	2.81602	2.8468	0	0	0	0	0	0	0	0
8100	34	88.2067	91.6791	2.8062	2.76106	0	0	0	0	0	0	0	0
8100	35	90.0255	91.3948	2.59551	2.58099	0	0	0	0	0	0	0	0
8100	36	90.3324	94.1897	3.01499	2.97663	0	0	0	0	0	0	0	0
8100	37	86.377	85.3621	2.62719	2.61146	0	0	0	0	0	0	0	0
8100	38	86.7094	89.4485	2.7324	2.75859	0	0	0	0	0	0	0	0
8100	39	82.0062	81.7804	2.51246	2.53688	0	0	0	0	0	0	0	0
8100	40	87.1035	84.094	2.54599	2.55986	0	0	0	0	0	0	0	0
8100	41	90.4166	87.0915	2.66174	2.62103	0	0	0	0	0	0	0	0
8100	42	87.9427	85.4313	2.68268	2.68048	0	0	0	0	0	0	0	0
8100	43	85.8353	84.7793	2.36536	2.35291	0	0	0	0	0	0	0	0
8100	44	78.7236	83.2104	2.91414	2.90523	0	0	0	0	0	0	0	0
8100	45	88.4218	90.1647	2.45979	2.45042	0	0	0	0	0	0	0	0
