GCUId	Chn	Mean_Ping	Mean_Pong	RMS_Ping	RMS_Pong	Length	x	y	z
GU8001	0	70.1318	70.1188	2.43737	2.44282	10	-18284.2	-373.653	6425.66
GU8001	1	77.6177	69.7381	2.30598	2.33783	10	-18033	460.689	7095
GU8001	2	73.2106	69.8457	2.43975	2.46127	10	-18717.7	-1290.88	4870.42
GU8001	3	71.5813	67.676	2.36671	2.38292	10	-18576	-1549.03	5317.27
GU8001	4	68.8392	70.5809	2.38599	2.35498	10	-18140.8	-1486	6666.62
GU8001	5	82.0684	75.2141	2.3911	2.33701	10	-17751.3	3208.01	7095
GU8001	6	73.895	76.7663	2.28276	2.3013	10	-18055	5102.52	4870.42
GU8001	7	67.9256	78.4164	2.48843	2.43008	10	-17940.8	5349.31	5025.23
GU8001	8	71.6973	70.633	2.49393	2.48369	10	-18419.3	-658.917	6002.8
GU8001	9	68.8871	72.295	2.41119	2.34635	10	-17947.8	-917.873	7264.63
GU8001	10	68.336	65.9857	2.50616	2.51531	10	-18124.2	5122.09	4584.33
GU8001	11	70.8639	71.5647	2.3571	2.36739	10	-17902.4	4382.72	6002.8
GU8001	12	70.974	73.8585	2.60737	2.58084	10	-18226.9	-1493.06	6425.66
GU8001	13	68.7178	64.4371	2.31031	2.3066	10	-17970.3	183.349	7264.63
GU8001	14	71.6778	72.319	2.52975	2.53628	10	-18789.5	-1295.83	4584.33
GU8001	15	70.8544	72.6359	3.97359	4.0381	10	-17896.5	5057.73	5465.76
GU8001	16	63.6063	62.5157	2.29664	2.28989	10	-18595.9	4401.05	3249.89
GU8001	17	69.9359	63.5994	2.69168	2.64835	10	-19135	-1319.66	2802.04
GU8001	18	60.3288	62.0092	2.41922	2.42262	10	-18807.3	-1568.42	4423.35
GU8001	19	68.6659	63.7092	2.41289	2.41588	10	-18983.2	-1309.19	3696.36
GU8001	20	61.3793	57.7676	2.39797	2.40496	10	-19032.5	-1038.52	3524.99
GU8001	21	69.8799	64.616	2.43129	2.3583	10	-18726.3	4149.16	2802.04
GU8001	22	62.1373	63.3553	2.46338	2.47243	10	-18844.5	-1028.26	4423.35
GU8001	23	59.4674	67.4446	2.43497	2.39664	10	-18994.9	-1584.07	3524.99
GU8001	24	66.3407	60.5916	2.37659	2.38589	10	-19081.2	-1041.18	3249.89
GU8001	25	62.5986	58.5941	2.33535	2.33168	10	-19103.3	-493.38	3249.89
GU8001	26	60.4732	61.0031	2.60068	2.59751	10	-18871	-1573.74	4141.1
GU8001	27	63.4901	60.9374	2.43228	2.40863	10	-18908.4	-1031.75	4141.1
GU8001	28	57.9207	61.5542	2.63167	2.61719	10	-18312.9	5460.27	3249.89
GU8001	29	53.2685	57.1593	2.43942	2.45362	10	-18558.9	4674.41	3075.24
GU8001	30	56.6509	60.5728	2.82143	2.8285	10	-18085.7	5392.54	4423.35
GU8001	31	61.7584	61.6485	2.50446	2.45436	10	-18257	5159.62	3974.75
GU8001	32	84.7265	84.3128	3.0051	3.01042	5	-18631.2	588.291	5317.27
GU8001	33	78.5301	89.8452	2.85785	2.83798	5	-18577.9	853.41	5465.76
GU8001	34	86.8286	92.1855	2.95616	3.02468	5	-18742.4	860.966	4870.42
GU8001	35	88.5788	89.1771	2.87326	2.89839	5	-18441.2	2717.87	5317.27
GU8001	36	85.8616	86.3098	2.88884	2.86387	5	-18218	4311.62	5025.23
GU8001	37	85.1071	81.1964	2.78717	2.79409	5	-18521.2	2729.55	5025.23
GU8001	38	87.4129	86.7614	2.77214	2.73816	5	-18640.4	53.5884	5317.27
GU8001	39	79.8623	83.1791	2.81596	2.83259	5	-18594.7	320.127	5465.76
GU8001	40	92.5506	79.951	2.84385	2.85496	5	-18139.3	4293.1	5317.27
GU8001	41	87.5846	83.8478	2.68893	2.72066	5	-18435.3	3259.73	5025.23
GU8001	42	79.7982	75.9499	2.96072	2.92117	5	-18599	2468.96	4870.42
GU8001	43	83.4419	86.2007	2.83701	2.78639	5	-18265	3500.53	5465.76
GU8001	44	82.1218	80.8568	3.01135	2.9828	5	-18355.7	3245.76	5317.27
