GCUId	Chn	Mean_Ping	Mean_Pong	RMS_Ping	RMS_Pong	Length	x	y	z
8151	0	67.0415	67.3356	2.67822	2.69948	10	-15926.9	-2284.86	10809.8
8151	1	66.1786	63.8835	2.49209	2.5065	10	-15742.3	-3327.03	10809.8
8151	2	63.5814	68.4606	2.90367	2.88498	10	-16495.7	-451.265	10169.9
8151	3	70.7898	61.7373	2.98467	3.05066	10	-16215.8	-2054.71	10419.5
8151	4	64.9508	68.8817	2.6399	2.62612	10	-16042.7	-1232.8	10809.8
8151	5	64.3718	66.058	2.6198	2.62686	10	-15843.2	-2807.46	10809.8
8151	6	63.7556	64.0523	3.08123	3.05577	10	-16086.9	-3677.29	10169.9
8151	7	66.8051	62.439	2.90421	2.95058	10	-16293.9	-2611.69	10169.9
8151	8	64.6517	62.6318	2.81919	2.84922	10	-15908.1	-3362.09	10553.1
8151	9	60.3472	57.4376	2.49005	2.49614	10	-15647.8	-2276.04	11211.8
8151	10	62.8426	63.951	3.38056	3.37797	10	-16371	-2074.37	10169.9
8151	11	57.1615	63.1939	2.92577	2.91248	10	-16045.6	-3116.37	10419.5
8151	12	69.5099	68.3088	3.36368	3.37249	10	-15652.7	-4400.7	10553.1
8151	13	63.8823	69.7782	2.7012	2.66084	10	-15774.4	-2294.44	11029.3
8151	14	70.2911	69.9772	2.6505	2.67957	10	-16199.2	-3146.19	10169.9
8151	15	61.3116	66.8828	2.98238	2.92002	10	-16315.8	-984.153	10419.5
8151	16	72.411	80.9385	3.0885	3.15435	10	-16554.8	-4071.87	9224.85
8151	17	72.5659	68.2087	3.32079	3.35021	10	-17472.1	714.416	8363.94
8151	18	77.1613	78.2648	3.41416	3.46492	10	-16729.1	368.009	9784.81
8151	19	74.5864	79.6034	3.46108	3.52679	10	-16941.6	651.604	9396.62
8151	20	70.1422	67.4585	3.3663	3.3919	10	-16953.9	94.0364	9396.62
8151	21	70.86	67.4982	3.39682	3.41438	10	-16724.8	-5105.49	8363.94
8151	22	67.5643	71.9119	3.61991	3.59355	10	-16231.7	-3430.48	10025.1
8151	23	68.8628	69.1596	3.34276	3.34654	10	-16243.7	-4856.52	9396.62
8151	24	64.1669	66.3718	3.22841	3.23871	10	-16524.4	-4645.78	9005.55
8151	25	72.7233	65.037	3.41973	3.44111	10	-17412.8	444.843	8505.13
8151	26	75.5874	73.3428	3.25836	3.25765	10	-16717.1	-732.64	9784.81
8151	27	70.0374	68.9178	3.45408	3.4833	10	-16612.4	-2662.75	9626.91
8151	28	77.5726	67.9746	3.20509	3.22083	10	-16679.8	-3525.17	9224.85
8151	29	74.4401	69.2175	3.45155	3.47448	10	-17391	978.247	8505.13
8151	30	65.729	63.4848	3.73855	3.74777	10	-16108.6	-4528.87	9784.81
8151	31	63.7612	67.8476	3.28521	3.31581	10	-16119.4	-4819.37	9626.91
8151	32	70.1087	66.9764	2.98208	3.00685	5	-17247	-3573.98	8093.58
8151	33	65.4826	67.0882	2.50551	2.48231	5	-17428.3	-1427.64	8363.94
8151	34	68.1825	69.7618	2.53242	2.54594	5	-17861.8	-365.275	7520.69
8151	35	64.4853	63.6564	2.58165	2.57367	5	-17366.6	-3322.05	7943.8
8151	36	68.6429	65.7478	2.55031	2.58605	5	-17842.3	-912.477	7520.69
8151	37	65.7581	58.9272	2.43967	2.45659	5	-17574.8	-2806.59	7680.41
8151	38	65.4642	66.5939	2.42928	2.44449	5	-17609.8	-359.872	8093.58
8151	39	71.4199	67.2985	2.31863	2.33471	5	-17485.8	178.651	8363.94
8151	40	61.7312	65.2643	2.4934	2.48657	5	-17554.6	-1437.99	8093.58
8151	41	67.2199	71.8749	2.36584	2.36127	5	-17797.3	-90.9124	7680.41
8151	42	61.9029	63.3545	2.53152	2.5238	5	-17683.1	-2546.89	7520.69
8151	43	64.4293	63.4364	2.35895	2.35595	5	-17483	-357.282	8363.94
8151	44	68.4784	62.6135	2.57185	2.6289	5	-17348.5	-3043.77	8093.58
8151	45	71.5067	68.875	2.68731	2.73572	5	-17369.9	-3877.96	7680.41
8151	46	62.3924	71.5144	2.64726	2.59308	5	-17596.7	-3087.59	7520.69
8151	47	61.5518	69.0706	2.4135	2.38738	5	-17122.9	-3548.26	8363.94
8151	48	68.6227	67.7693	3.02063	3.00065	5	-17200.5	-2746.81	8505.13
8151	49	74.1614	72.4235	3.26233	3.23487	5	-16794.1	-3549.33	9005.55
8151	50	75.5623	67.4494	2.9373	2.914	5	-16819.7	-2131.22	9396.62
8151	51	73.2195	76.3364	3.04267	3.01496	5	-17108.2	-3272.63	8505.13
8151	52	74.0846	73.8467	3.04809	3.01257	5	-17280.8	-88.2757	8780.99
8151	53	74.4907	67.2277	3.06672	3.05713	5	-16901.8	-2995.05	9005.55
8151	54	78.2433	72.9634	3.03425	3.01416	5	-16923.4	-1020.8	9396.62
8151	55	68.104	67.6103	2.94588	2.92607	5	-17418.2	-88.9777	8505.13
8151	56	71.4652	72.2271	2.97141	2.93997	5	-16786.7	-2974.66	9224.85
8151	57	74.8116	63.5775	3.02696	3.0076	5	-16998.1	-1306.22	9224.85
8151	58	74.1512	72.8438	2.94273	2.92262	5	-17380.1	-1155.87	8505.13
8151	59	65.3382	71.1242	3.1024	3.05222	5	-17407.3	-622.715	8505.13
8151	60	73.2542	72.1915	2.99288	2.97945	5	-17276.6	-2218.42	8505.13
8151	61	69.214	70.3292	3.21051	3.17422	5	-17463.9	-892.88	8363.94
8151	62	70.5893	66.0051	3.23721	3.25058	5	-16875.4	-2420.93	9224.85
8151	63	66.0199	64.3175	3.18082	3.17163	5	-17140.3	-2200.91	8780.99
8151	64	72.963	74.2032	2.46553	2.48849	10	-18606.6	1122.51	5317.27
8151	65	68.6177	71.8869	2.41769	2.41762	10	-18596.2	-213.419	5465.76
8151	66	71.9768	71.0069	2.48412	2.51533	10	-18488.8	849.319	5760.47
8151	67	68.6381	77.5428	2.43094	2.4142	10	-18693.5	-1020.02	5025.23
8151	68	76.1356	75.6333	2.42248	2.44094	10	-18374	-3140.17	5317.27
8151	69	70.3478	73.5168	2.40631	2.41616	10	-18060	-4438.7	5465.76
8151	70	68.6939	71.676	2.53796	2.53091	10	-18402	1035.12	6002.8
8151	71	66.9896	67.1124	2.53685	2.54849	10	-18715	-483.354	5025.23
8151	72	73.7362	72.6088	2.3745	2.41489	10	-18507.1	-212.396	5760.47
8151	73	69.3904	73.9144	2.43029	2.45936	10	-18582.4	-746.791	5465.76
8151	74	68.8473	72.5766	2.37187	2.39877	10	-18634.2	-481.159	5317.27
8151	75	69.7823	69.9767	4.83876	4.85338	10	-18536.6	-2623.23	5025.23
8151	76	68.5502	64.98	2.43629	2.44801	10	-18612.8	-1015.51	5317.27
8151	77	71.3497	73.048	2.60324	2.62135	10	-18656.5	-1555.85	5025.23
8151	78	68.2288	74.62	2.47962	2.46642	10	-18092.7	-3900.01	5760.47
8151	79	72.0608	71.8232	2.3988	2.43589	10	-18179.9	-3918.8	5465.76
8151	80	55.7464	54.4344	4.20548	4.26989	10	-17423.7	-5028.28	6846.23
8151	81	57.9713	60.7806	3.12543	3.11892	10	-16873.4	-4590.56	8363.94
8151	82	60.117	64.1789	3.34633	3.3997	10	-18324.5	1030.76	6236.22
8151	83	55.4785	58.8329	2.85769	2.83204	10	-17563.1	-4778.22	6666.62
8151	84	63.8695	56.2029	2.97075	3.01117	10	-17781.5	-4546.15	6236.22
8151	85	57.4856	56.8937	2.72315	2.74056	10	-18347.5	468.724	6236.22
8151	86	54.3489	56.5402	2.97554	2.97637	10	-17956.2	733.96	7264.63
8151	87	59.3996	59.6607	2.67744	2.69924	10	-16988.2	-4902.61	7943.8
8151	88	53.0139	54.571	2.75002	2.74038	10	-18106.1	1018.48	6846.23
8151	89	53.2353	55.022	2.62539	2.63516	10	-17408.5	-5314.2	6666.62
8151	90	57.9931	56.5326	2.78215	2.81623	10	-17708.4	-5110.46	6002.8
8151	91	53.5	51.622	2.71164	2.72755	10	-16846	-5142.5	8093.58
