GCUId	Chn	Mean_Ping	Mean_Pong	RMS_Ping	RMS_Pong	Length	x	y	z
8097	0	57.1561	54.6628	2.48919	2.50135	10	-14656.4	-11990.9	4141.1
8097	1	58.3846	61.0514	2.42571	2.42761	10	-17783.3	-6318.93	4423.35
8097	2	63.791	60.1419	2.51813	2.51743	10	-18006.6	-6398.3	3249.89
8097	3	61.907	60.1964	2.66586	2.67657	10	-17770.2	-6894.55	3524.99
8097	4	65.7117	69.4436	2.40167	2.42273	10	-17843.5	-6340.33	4141.1
8097	5	63.8377	59.5761	2.57616	2.59741	10	-17594.7	-6826.46	4423.35
8097	6	64.1534	60.5754	2.43411	2.4359	10	-14752.6	-12069.6	3524.99
8097	7	65.7441	65.0414	2.59295	2.59695	10	-17960.6	-6381.95	3524.99
8097	8	62.335	66.3776	2.86267	2.86841	10	-17784.1	-6608.04	3974.75
8097	9	63.2944	63.039	3.18682	3.21719	10	-17654.7	-6559.98	4584.33
8097	10	59.989	62.6832	2.61708	2.59821	10	-14637.4	-12330	3075.24
8097	11	65.748	63.1885	3.21415	3.22858	10	-17639.3	-7136.56	3696.36
8097	12	61.1419	56.6961	2.78463	2.7957	10	-17450.5	-7353.21	4141.1
8097	13	60.4035	59.0421	2.62082	2.62275	10	-14746.7	-11715.7	4584.33
8097	14	64.877	57.2139	2.54878	2.56976	10	-17815.7	-6912.21	3249.89
8097	15	63.6777	54.5718	2.38487	2.42326	10	-14553.1	-12259	3696.36
8097	16	66.784	74.9782	2.71835	2.69311	10	-13886.5	-13513.1	548.472
8097	17	68.3651	68.827	2.80132	2.80958	10	-15510.7	-11612.8	-548.472
8097	18	75.952	72.0665	2.7572	2.6891	10	-14536.2	-12605.6	2353.24
8097	19	71.2785	70.7738	2.84438	2.80811	10	-14631.7	-12688.4	810.711
8097	20	72.5515	59.3113	2.75737	2.78566	10	-18257.9	-6487.57	548.472
8097	21	64.3708	66.5346	2.88845	2.90569	10	-14812.2	-12477.2	-810.711
8097	22	64.1967	67.7724	2.72398	2.69766	10	-17979.4	-6680.6	2802.04
8097	23	65.3015	58.9978	2.78525	2.76025	10	-14638.6	-12694.5	548.472
8097	24	69.0846	69.8249	2.87769	2.87899	10	-14078.9	-13312.5	-548.472
8097	25	64.8064	63.9431	2.8551	2.85166	10	-14819.2	-12483.2	-548.472
8097	26	59.8925	59.7602	2.89178	2.86204	10	-18193.4	-6464.65	1717.25
8097	27	56.5329	64.772	2.75737	2.76596	10	-18131.5	-6737.14	1264.18
8097	28	66.1382	66.3558	2.85876	2.84458	10	-18064.3	-7008.65	548.472
8097	29	68.7265	64.9737	3.1042	3.11464	10	-15171.2	-12052.9	-548.472
8097	30	70.6934	66.208	2.63402	2.61067	10	-18082.4	-6718.89	1903.16
8097	31	61.3886	65.6044	2.7413	2.72863	10	-14805.4	-12471.5	1000.63
8097	32	48.9687	48.6262	2.77864	2.77467	5	-17273.1	-8475.86	2353.24
8097	33	52.0681	56.2076	2.89179	2.88573	5	-17338.5	-8201.46	2802.04
8097	34	58.0541	62.9125	2.63228	2.60566	5	-16936.2	-9234.94	1903.16
8097	35	51.5748	51.1689	2.61173	2.60892	5	-15235.2	-11751.2	2353.24
8097	36	54.9061	59.2636	2.62212	2.62383	5	-17856.1	-7224.27	2170.08
8097	37	56.5869	48.8878	2.6282	2.6923	5	-15419.4	-11544.4	2170.08
8097	38	55.2407	54.085	2.67821	2.73097	5	-17241.9	-8460.51	2622.4
8097	39	54.0724	49.4688	2.35748	2.44309	5	-17905.4	-6947	2622.4
8097	40	48.7305	52.7672	2.6008	2.58568	5	-14891.8	-12183.4	2353.24
8097	41	51.4738	59.4619	2.48625	2.43509	5	-15566	-11309.4	2353.24
8097	42	50.8043	54.804	2.58638	2.56966	5	-17194.1	-8745.3	1903.16
8097	43	59.7322	57.4027	2.53861	2.56287	5	-14864.8	-12161.4	2622.4
8097	44	57.088	56.8719	2.64257	2.67091	5	-17509.2	-7976.87	2353.24
8097	45	55.3451	59.5641	2.43455	2.45086	5	-17022.9	-8967.87	2353.24
8097	46	55.5385	56.0402	2.44305	2.44589	5	-17667.3	-7744.84	1903.16
8097	47	51.9071	55.1886	2.48629	2.45187	5	-17477.5	-7962.42	2622.4
8097	48	72.3638	74.1219	2.62098	2.6297	5	-17058.8	-8676.47	3075.24
8097	49	72.9756	74.6493	2.40133	2.41126	5	-15420.5	-11203.7	3524.99
8097	50	80.3598	66.0584	2.35654	2.36925	5	-17232.4	-7850.78	4141.1
8097	51	71.1157	70.3637	2.41897	2.43415	5	-15354	-11495.4	2802.04
8097	52	77.8299	80.8992	2.33981	2.3721	5	-16802.8	-9162.25	3075.24
8097	53	79.8326	76.42	2.90358	2.96078	5	-17390	-7922.55	3249.89
8097	54	72.6964	78.495	2.74439	2.76055	5	-14994.3	-11565.5	4141.1
8097	55	74.2937	77.8463	2.80047	2.81191	5	-17096.1	-8695.46	2802.04
8097	56	74.057	76.7726	2.52415	2.51431	5	-17201	-8136.42	3696.36
8097	57	74.9997	73.6156	2.65267	2.66769	5	-17345.5	-7902.31	3524.99
8097	58	77.8694	74.1154	2.46644	2.50154	5	-16839.6	-9182.31	2802.04
8097	59	74.2552	72.0935	2.80869	2.83761	5	-15677.4	-11050.2	2802.04
8097	60	65.9585	67.3562	2.5612	2.5686	5	-15643.2	-11026.1	3075.24
8097	61	72.1297	69.8985	2.8407	2.89312	5	-15017.9	-11931.1	2802.04
8097	62	72.3119	72.158	2.80037	2.83366	5	-17375.9	-7617.07	3974.75
8097	63	69.8479	71.284	2.80284	2.83362	5	-14790.4	-12100.5	3249.89
8097	64	75.2858	73.5224	2.53254	2.52565	10	-17317.8	-8497.76	-1903.16
8097	65	77.4758	72.7799	3.2961	3.36681	10	-17898.4	-7241.38	-1717.25
8097	66	68.9696	75.9057	2.38977	2.40034	10	-16393.5	-10200.2	-1717.25
8097	67	77.9541	75.748	2.48472	2.49658	10	-16207.1	-10409.7	-2170.08
8097	68	75.4925	76.5556	2.53059	2.53768	10	-16523.2	-9955.02	-1903.16
8097	69	73.6889	79.1395	2.74235	2.67206	10	-14930.3	-12214.9	-1903.16
8097	70	78.4291	77.6563	2.42316	2.40595	10	-16094.1	-10666.3	-1717.25
8097	71	71.3002	66.1841	7.22772	7.29081	10	-17041.9	-8977.9	-2170.08
8097	72	76.6715	73.2124	2.49706	2.49235	10	-17209.6	-8753.21	-1717.25
8097	73	76.5871	79.0378	2.54781	2.52874	10	-17683.3	-7751.84	-1717.25
8097	74	75.1599	70.5406	2.68806	2.71332	10	-15252.2	-11764.4	-2170.08
8097	75	72.673	72.7141	2.64044	2.63141	10	-15583.4	-11322	-2170.08
8097	76	78.4752	69.5976	3.94096	4.02348	10	-17776.6	-7490.61	-1903.16
8097	77	74.273	75.5999	2.69473	2.68597	10	-17292.5	-8485.34	-2170.08
8097	78	76.1204	74.7527	2.50928	2.51317	10	-16951.5	-9243.29	-1717.25
8097	79	77.9575	72.8916	2.49999	2.50622	10	-16230.8	-10424.9	-1903.16
8097	80	48.5153	49.3649	4.07727	4.06901	10	-18047.4	-7002.11	-1000.63
8097	81	50.9399	49.1117	3.28678	3.25246	10	-17737.6	-7775.63	-810.711
8097	82	51.1561	46.6155	3.36406	3.36126	10	-17918.5	-7249.53	-1452.34
8097	83	51.4519	47.0171	3.04914	3.04335	10	-17824.9	-7510.95	-1264.18
8097	84	52.0822	54.2344	3.20545	3.19849	10	-15473.3	-11584.8	-1452.34
8097	85	52.8503	56.8443	3.13268	3.11993	10	-14783.5	-12453.1	-1452.34
8097	86	51.7941	52.1176	3.09396	3.09278	10	-17839.1	-7516.94	-1000.63
